Image_1,emotion,Answer,RT_in_ms
13_morph4.jpg,ang60,1,0.726907
13_morph5.jpg,ang80,0,1.039200
33_morph2.jpg,ang20,NaN,NaN
13_morph1.jpg,neu,NaN,NaN
13_morph2.jpg,ang20,NaN,NaN
33_morph6.jpg,ang100,1,2.699928
33_morph2.jpg,ang20,NaN,NaN
13_morph4.jpg,ang60,NaN,NaN
33_morph6.jpg,ang100,1,2.174701
13_morph3.jpg,ang40,1,1.791385
13_morph2.jpg,ang20,1,1.192144
33_morph1.jpg,neu,0,0.401211
13_morph5.jpg,ang80,NaN,NaN
33_morph3.jpg,ang40,NaN,NaN
33_morph4.jpg,ang60,1,0.865852
13_morph4.jpg,ang60,1,2.936730
33_morph2.jpg,ang20,0,0.619809
33_morph3.jpg,ang40,1,0.617661
33_morph6.jpg,ang100,0,0.576930
13_morph2.jpg,ang20,1,0.926470
33_morph1.jpg,neu,1,2.474757
13_morph4.jpg,ang60,1,1.626322
13_morph3.jpg,ang40,1,1.577091
13_morph5.jpg,ang80,1,0.007040
33_morph6.jpg,ang100,1,0.006540
13_morph1.jpg,neu,0,0.006404
33_morph5.jpg,ang80,1,0.006708
13_morph3.jpg,ang40,1,0.006527
33_morph3.jpg,ang40,1,0.134682
33_morph5.jpg,ang80,1,0.141364
13_morph6.jpg,ang100,1,0.174047
13_morph3.jpg,ang40,1,0.157639
33_morph5.jpg,ang80,1,0.006471
13_morph1.jpg,neu,0,0.114527
33_morph4.jpg,ang60,1,0.006770
33_morph1.jpg,neu,0,0.006405
13_morph2.jpg,ang20,1,0.172165
33_morph3.jpg,ang40,1,0.007177
13_morph1.jpg,neu,0,0.026022
33_morph2.jpg,ang20,1,2.263096
13_morph5.jpg,ang80,NaN,NaN
33_morph6.jpg,ang100,0,2.695744
13_morph6.jpg,ang100,1,2.961786
33_morph2.jpg,ang20,0,1.207836
33_morph4.jpg,ang60,1,1.556545
13_morph4.jpg,ang60,0,1.215795
33_morph5.jpg,ang80,1,1.030506
13_morph2.jpg,ang20,0,0.793491
33_morph3.jpg,ang40,1,0.456719
13_morph6.jpg,ang100,0,0.695037
33_morph4.jpg,ang60,1,0.564394
33_morph1.jpg,neu,1,0.200638
13_morph3.jpg,ang40,1,0.183880
33_morph4.jpg,ang60,0,0.227567
13_morph5.jpg,ang80,0,0.619344
33_morph1.jpg,neu,1,1.864987
13_morph6.jpg,ang100,1,0.726260
13_morph6.jpg,ang100,0,1.225806
13_morph1.jpg,neu,0,2.445941
33_morph5.jpg,ang80,0,1.444393
12_morph4.jpg,hap60,1,0.005647
12_morph1.jpg,neu,NaN,NaN
15_morph2.jpg,hap20,0,1.002053
12_morph6.jpg,hap100,1,0.233024
12_morph5.jpg,hap80,1,0.699236
15_morph3.jpg,hap40,0,0.006545
12_morph1.jpg,neu,0,0.060517
15_morph6.jpg,hap100,0,0.112910
15_morph6.jpg,hap100,1,0.868160
12_morph4.jpg,hap60,0,0.878328
15_morph6.jpg,hap100,1,0.727438
15_morph5.jpg,hap80,NaN,NaN
12_morph5.jpg,hap80,NaN,NaN
15_morph4.jpg,hap60,NaN,NaN
12_morph1.jpg,neu,NaN,NaN
15_morph5.jpg,hap80,NaN,NaN
12_morph3.jpg,hap40,0,2.712519
15_morph5.jpg,hap80,0,0.007109
15_morph2.jpg,hap20,0,0.177358
12_morph2.jpg,hap20,0,0.042100
15_morph3.jpg,hap40,NaN,NaN
12_morph3.jpg,hap40,0,0.006635
12_morph6.jpg,hap100,1,0.379510
15_morph2.jpg,hap20,0,1.483003
15_morph4.jpg,hap60,0,0.850315
12_morph4.jpg,hap60,0,0.696109
12_morph3.jpg,hap40,0,0.006544
15_morph1.jpg,neu,1,0.006549
12_morph2.jpg,hap20,1,1.725788
12_morph3.jpg,hap40,0,1.126942
15_morph4.jpg,hap60,1,1.197830
15_morph4.jpg,hap60,0,1.077294
12_morph2.jpg,hap20,NaN,NaN
15_morph5.jpg,hap80,1,1.252818
12_morph6.jpg,hap100,0,1.369773
15_morph6.jpg,hap100,NaN,NaN
12_morph6.jpg,hap100,0,1.493905
15_morph1.jpg,neu,1,2.725509
15_morph1.jpg,neu,NaN,NaN
12_morph5.jpg,hap80,1,0.100451
15_morph4.jpg,hap60,0,1.057780
12_morph6.jpg,hap100,1,0.214307
12_morph4.jpg,hap60,0,1.671469
12_morph4.jpg,hap60,1,0.005664
12_morph1.jpg,neu,0,0.878492
15_morph2.jpg,hap20,0,0.484539
15_morph3.jpg,hap40,1,0.007159
15_morph6.jpg,hap100,1,0.053217
15_morph3.jpg,hap40,1,0.006839
15_morph2.jpg,hap20,1,0.831988
12_morph3.jpg,hap40,0,0.570345
15_morph5.jpg,hap80,1,0.832359
12_morph5.jpg,hap80,0,0.850286
12_morph2.jpg,hap20,1,0.821292
12_morph2.jpg,hap20,0,0.921560
15_morph1.jpg,neu,0,0.499276
15_morph1.jpg,neu,1,0.418662
15_morph3.jpg,hap40,1,0.009482
12_morph1.jpg,neu,1,0.665135
12_morph5.jpg,hap80,0,0.565908
