Image_1,emotion,Answer,RT_in_ms
13_morph4.jpg,ang60,1,1.915928
13_morph5.jpg,ang80,1,1.339951
33_morph2.jpg,ang20,0,2.160346
13_morph1.jpg,neu,1,2.843363
13_morph2.jpg,ang20,0,1.663940
33_morph6.jpg,ang100,1,1.488122
33_morph2.jpg,ang20,0,1.813253
13_morph4.jpg,ang60,1,1.985111
33_morph6.jpg,ang100,1,1.741845
13_morph3.jpg,ang40,1,1.464818
13_morph2.jpg,ang20,1,1.597636
33_morph1.jpg,neu,1,1.571873
13_morph5.jpg,ang80,NaN,NaN
33_morph3.jpg,ang40,NaN,NaN
33_morph4.jpg,ang60,1,1.344934
13_morph4.jpg,ang60,1,1.186398
33_morph2.jpg,ang20,0,2.251229
33_morph3.jpg,ang40,0,1.202163
33_morph6.jpg,ang100,1,1.195948
13_morph2.jpg,ang20,1,2.389727
33_morph1.jpg,neu,NaN,NaN
13_morph4.jpg,ang60,1,1.302960
13_morph3.jpg,ang40,0,1.659632
13_morph5.jpg,ang80,1,1.177212
33_morph6.jpg,ang100,1,1.646222
13_morph1.jpg,neu,1,1.886840
33_morph5.jpg,ang80,1,1.678380
13_morph3.jpg,ang40,1,2.413964
33_morph3.jpg,ang40,0,1.666014
33_morph5.jpg,ang80,1,1.449068
13_morph6.jpg,ang100,0,1.189597
13_morph3.jpg,ang40,NaN,NaN
33_morph5.jpg,ang80,1,1.978930
13_morph1.jpg,neu,1,2.969308
33_morph4.jpg,ang60,0,2.847489
33_morph1.jpg,neu,1,2.867316
13_morph2.jpg,ang20,NaN,NaN
33_morph3.jpg,ang40,0,1.980220
13_morph1.jpg,neu,NaN,NaN
33_morph2.jpg,ang20,0,1.946912
13_morph5.jpg,ang80,NaN,NaN
33_morph6.jpg,ang100,1,0.006959
13_morph6.jpg,ang100,NaN,NaN
33_morph2.jpg,ang20,1,0.007015
33_morph4.jpg,ang60,1,2.397152
13_morph4.jpg,ang60,NaN,NaN
33_morph5.jpg,ang80,1,1.289647
13_morph2.jpg,ang20,1,1.546241
33_morph3.jpg,ang40,1,1.153262
13_morph6.jpg,ang100,1,1.333609
33_morph4.jpg,ang60,1,1.354400
33_morph1.jpg,neu,0,1.039191
13_morph3.jpg,ang40,1,1.472638
33_morph4.jpg,ang60,1,0.816887
13_morph5.jpg,ang80,1,0.827800
33_morph1.jpg,neu,0,0.752462
13_morph6.jpg,ang100,1,1.520456
13_morph6.jpg,ang100,1,1.317115
13_morph1.jpg,neu,1,2.076755
33_morph5.jpg,ang80,1,1.301727
12_morph4.jpg,hap60,0,2.110801
12_morph1.jpg,neu,0,2.276273
15_morph2.jpg,hap20,1,1.687206
12_morph6.jpg,hap100,0,1.630589
12_morph5.jpg,hap80,0,1.384842
15_morph3.jpg,hap40,0,1.283702
12_morph1.jpg,neu,0,2.143341
15_morph6.jpg,hap100,0,1.996213
15_morph6.jpg,hap100,0,1.478288
12_morph4.jpg,hap60,0,1.403415
15_morph6.jpg,hap100,0,1.165609
15_morph5.jpg,hap80,0,0.992132
12_morph5.jpg,hap80,0,1.427035
15_morph4.jpg,hap60,0,0.005410
12_morph1.jpg,neu,0,2.331944
15_morph5.jpg,hap80,0,1.397361
12_morph3.jpg,hap40,0,1.599448
15_morph5.jpg,hap80,0,1.399501
15_morph2.jpg,hap20,1,1.771343
12_morph2.jpg,hap20,1,2.601644
15_morph3.jpg,hap40,0,1.307311
12_morph3.jpg,hap40,0,1.005195
12_morph6.jpg,hap100,0,1.627268
15_morph2.jpg,hap20,0,1.867783
15_morph4.jpg,hap60,NaN,NaN
12_morph4.jpg,hap60,0,1.809415
12_morph3.jpg,hap40,0,1.899364
15_morph1.jpg,neu,1,2.109188
12_morph2.jpg,hap20,0,2.287535
12_morph3.jpg,hap40,0,2.235193
15_morph4.jpg,hap60,0,2.002076
15_morph4.jpg,hap60,0,1.284988
12_morph2.jpg,hap20,NaN,NaN
15_morph5.jpg,hap80,0,1.156109
12_morph6.jpg,hap100,0,2.074520
15_morph6.jpg,hap100,0,1.548648
12_morph6.jpg,hap100,0,1.474611
15_morph1.jpg,neu,0,2.341966
15_morph1.jpg,neu,0,1.670737
12_morph5.jpg,hap80,0,1.879965
15_morph4.jpg,hap60,0,1.642185
12_morph6.jpg,hap100,0,1.493866
12_morph4.jpg,hap60,0,1.231417
12_morph4.jpg,hap60,NaN,NaN
12_morph1.jpg,neu,NaN,NaN
15_morph2.jpg,hap20,0,1.547833
15_morph3.jpg,hap40,1,1.190721
15_morph6.jpg,hap100,1,1.521309
15_morph3.jpg,hap40,1,0.953595
15_morph2.jpg,hap20,0,1.985887
12_morph3.jpg,hap40,1,2.267673
15_morph5.jpg,hap80,NaN,NaN
12_morph5.jpg,hap80,NaN,NaN
12_morph2.jpg,hap20,NaN,NaN
12_morph2.jpg,hap20,0,1.410409
15_morph1.jpg,neu,1,1.995018
15_morph1.jpg,neu,1,1.162719
15_morph3.jpg,hap40,NaN,NaN
12_morph1.jpg,neu,1,2.901555
12_morph5.jpg,hap80,NaN,NaN
